TZ1,TZ2,TZ3,TZ4,TF,TD1,TD2,TD3,TD4,RPMT,TBT,TT1,TT2,PV,TEN,DE
440,440,430,430,445,450,450,450,450,55,55,68,1,63,50,0.331
440,440,430,430,445,450,450,450,450,55,55,68,1,63,50,0.33
440,440,430,430,445,450,450,450,450,55,55,68,1,63,50,0.33
440,440,430,430,445,450,450,450,450,55,55,68,1,63,50,0.329
440,440,430,430,445,450,450,450,450,55,55,68,1,63,50,0.33
445,445,435,435,441,450,450,450,450,70,58,62,1.3,60,50,0.328
445,445,435,435,441,450,450,450,450,70,58,62,1.3,60,50,0.33
445,445,435,435,441,450,450,450,450,70,58,62,1.3,60,50,0.331
445,445,435,435,441,450,450,450,450,70,58,62,1.3,60,50,0.329
445,445,435,435,441,450,450,450,450,70,58,62,1.3,60,50,0.33
436,444,436,438,442,450,448,450,450,70,56,62.7,1,61.6,46,0.331
436,444,436,438,442,450,448,450,450,70,56,62.7,1,61.6,46,0.33
436,444,436,438,442,450,448,450,450,70,56,62.7,1,61.6,46,0.33
436,444,436,438,442,450,448,450,450,70,56,62.7,1,61.6,46,0.329
436,444,436,438,442,450,448,450,450,70,56,62.7,1,61.6,46,0.33
440,442,432,436,442,450,450,450,450,70,56,62,1,62,46,0.329
440,442,432,436,442,450,450,450,450,70,56,62,1,62,46,0.33
440,442,432,436,442,450,450,450,450,70,56,62,1,62,46,0.329
440,442,432,436,442,450,450,450,450,70,56,62,1,62,46,0.33
440,442,432,436,442,450,450,450,450,70,56,62,1,62,46,0.33
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.33
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.328
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.329
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.331
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.33
435,432,439,435,448,450,453,450,444,58,60,59,0.9,60,52,0.329
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.33
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.328
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.329
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.33
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.328
442,440,431,431,441,451,448,450,450,60,68,59.1,0.7,60.3,54,0.33
440,445,432,425,450,445,450,450,451,60,68,60,0.7,60.3,54,0.331
440,445,432,425,450,445,450,450,451,60,68,60,0.7,60.3,54,0.329
