TZ1,TZ2,TZ3,TZ4,TF,TD1,TD2,TD3,TD4,RPMT,TBT,TT1,TT2,PV,TEN,DE
-0.285316,-0.216633,-0.902743,-1.143241,1.089199,0.696187,0.48548,0.447782,0.367273,-1.179064,-0.44603,0.632487,-0.001667,1.110686,-0.156774,0.331
-0.285316,-0.216633,-0.902743,-1.143241,1.089199,0.696187,0.48548,0.447782,0.367273,-1.179064,-0.44603,0.632487,-0.001667,1.110686,-0.156774,0.33
-0.285316,-0.216633,-0.902743,-1.143241,1.089199,0.696187,0.48548,0.447782,0.367273,-1.179064,-0.44603,0.632487,-0.001667,1.110686,-0.156774,0.33
-0.285316,-0.216633,-0.902743,-1.143241,1.089199,0.696187,0.48548,0.447782,0.367273,-1.179064,-0.44603,0.632487,-0.001667,1.110686,-0.156774,0.329
-0.285316,-0.216633,-0.902743,-1.143241,1.089199,0.696187,0.48548,0.447782,0.367273,-1.179064,-0.44603,0.632487,-0.001667,1.110686,-0.156774,0.33
1.810228,1.824113,0.320996,0.498984,-0.264167,0.696187,0.48548,0.447782,0.367273,1.346114,-0.063298,-0.420421,0.046492,-1.003874,-0.156774,0.328
1.810228,1.824113,0.320996,0.498984,-0.264167,0.696187,0.48548,0.447782,0.367273,1.346114,-0.063298,-0.420421,0.046492,-1.003874,-0.156774,0.33
1.810228,1.824113,0.320996,0.498984,-0.264167,0.696187,0.48548,0.447782,0.367273,1.346114,-0.063298,-0.420421,0.046492,-1.003874,-0.156774,0.331
1.810228,1.824113,0.320996,0.498984,-0.264167,0.696187,0.48548,0.447782,0.367273,1.346114,-0.063298,-0.420421,0.046492,-1.003874,-0.156774,0.329
1.810228,1.824113,0.320996,0.498984,-0.264167,0.696187,0.48548,0.447782,0.367273,1.346114,-0.063298,-0.420421,0.046492,-1.003874,-0.156774,0.33
-1.961752,1.415964,0.565744,1.484318,0.074175,0.696187,-0.11559,0.447782,0.367273,1.346114,-0.318453,-0.297582,-0.001667,0.123892,-2.03086,0.331
-1.961752,1.415964,0.565744,1.484318,0.074175,0.696187,-0.11559,0.447782,0.367273,1.346114,-0.318453,-0.297582,-0.001667,0.123892,-2.03086,0.33
-1.961752,1.415964,0.565744,1.484318,0.074175,0.696187,-0.11559,0.447782,0.367273,1.346114,-0.318453,-0.297582,-0.001667,0.123892,-2.03086,0.33
-1.961752,1.415964,0.565744,1.484318,0.074175,0.696187,-0.11559,0.447782,0.367273,1.346114,-0.318453,-0.297582,-0.001667,0.123892,-2.03086,0.329
-1.961752,1.415964,0.565744,1.484318,0.074175,0.696187,-0.11559,0.447782,0.367273,1.346114,-0.318453,-0.297582,-0.001667,0.123892,-2.03086,0.33
-0.285316,0.599666,-0.413247,0.827428,0.074175,0.696187,0.48548,0.447782,0.367273,1.346114,-0.318453,-0.420421,-0.001667,0.405833,-2.03086,0.329
-0.285316,0.599666,-0.413247,0.827428,0.074175,0.696187,0.48548,0.447782,0.367273,1.346114,-0.318453,-0.420421,-0.001667,0.405833,-2.03086,0.33
